Tag	Timestamp	Timestamp.loc	date	day	rhour	x	y	ClosestRoost
1	13-1-2013 04:30	13-1-2013 03:30	13-1-2013	32	3.5	364298.4063	2197574.25	1
1	13-1-2013 05:00	13-1-2013 04:00	13-1-2013	32	4	364297.5938	2197574.5	1
1	13-1-2013 05:30	13-1-2013 04:30	13-1-2013	32	4.5	364296.7813	2197596.25	1
1	13-1-2013 06:00	13-1-2013 05:00	13-1-2013	32	5	364368.5625	2197623	1
1	13-1-2013 06:30	13-1-2013 05:30	13-1-2013	32	5.5	364419.6875	2197604.25	1
1	13-1-2013 07:00	13-1-2013 06:00	13-1-2013	32	6	364668	2197919.25	1
1	13-1-2013 07:30	13-1-2013 06:30	13-1-2013	32	6.5	364649.3594	2197952	1
1	13-1-2013 08:00	13-1-2013 07:00	13-1-2013	32	7	364799.8438	2197463	1
1	13-1-2013 08:30	13-1-2013 07:30	13-1-2013	32	7.5	364846.4375	2197629.5	1
1	13-1-2013 09:00	13-1-2013 08:00	13-1-2013	32	8	364855.4375	2197624	1
1	13-1-2013 09:30	13-1-2013 08:30	13-1-2013	32	8.5	364752.375	2197855.5	1
1	13-1-2013 10:00	13-1-2013 09:00	13-1-2013	32	9	364739.4375	2197894	1
1	13-1-2013 10:30	13-1-2013 09:30	13-1-2013	32	9.5	364740.7969	2197889.5	1
1	13-1-2013 11:00	13-1-2013 10:00	13-1-2013	32	10	364740.5625	2197893.25	1
1	13-1-2013 11:30	13-1-2013 10:30	13-1-2013	32	10.5	364734.375	2197918.25	1
1	13-1-2013 12:00	13-1-2013 11:00	13-1-2013	32	11	364696.9688	2197926.75	1
1	13-1-2013 12:30	13-1-2013 11:30	13-1-2013	32	11.5	364560	2197786.5	1
1	13-1-2013 13:00	13-1-2013 12:00	13-1-2013	32	12	364407.0313	2197604.75	1
1	13-1-2013 13:30	13-1-2013 12:30	13-1-2013	32	12.5	364394.5625	2197618.5	1
1	13-1-2013 14:00	13-1-2013 13:00	13-1-2013	32	13	364415.375	2197612.25	1
1	13-1-2013 14:30	13-1-2013 13:30	13-1-2013	32	13.5	364393	2197747.5	1
1	13-1-2013 15:00	13-1-2013 14:00	13-1-2013	32	14	364365.9375	2197744.75	1
1	13-1-2013 15:30	13-1-2013 14:30	13-1-2013	32	14.5	364297.7188	2197358.5	1
1	13-1-2013 16:00	13-1-2013 15:00	13-1-2013	32	15	364306.9375	2197361.5	1
1	13-1-2013 16:30	13-1-2013 15:30	13-1-2013	32	15.5	364317.7813	2197348.5	1
1	13-1-2013 17:00	13-1-2013 16:00	13-1-2013	32	16	364336.9688	2197349	1
1	13-1-2013 17:30	13-1-2013 16:30	13-1-2013	32	16.5	364274.375	2197368.75	1
1	13-1-2013 18:00	13-1-2013 17:00	13-1-2013	32	17	364267.3125	2197424.25	1
1	13-1-2013 18:30	13-1-2013 17:30	13-1-2013	32	17.5	364367	2197623.25	1
1	13-1-2013 19:00	13-1-2013 18:00	13-1-2013	32	18	364385.9688	2197627.25	1
1	13-1-2013 19:30	13-1-2013 18:30	13-1-2013	32	18.5	364434.5938	2197598	1
1	13-1-2013 20:00	13-1-2013 19:00	13-1-2013	32	19	364867.75	2197633.75	1
1	13-1-2013 20:30	13-1-2013 19:30	13-1-2013	32	19.5	364845.0625	2197353.5	1
1	13-1-2013 21:00	13-1-2013 20:00	13-1-2013	32	20	364763.875	2197344.75	1
1	13-1-2013 21:30	13-1-2013 20:30	13-1-2013	32	20.5	364746.4688	2197455.5	1
1	13-1-2013 22:00	13-1-2013 21:00	13-1-2013	32	21	364752.4688	2197458.125	1
1	13-1-2013 22:30	13-1-2013 21:30	13-1-2013	32	21.5	364745.7813	2197467	1
1	13-1-2013 23:00	13-1-2013 22:00	13-1-2013	32	22	364730.5625	2197462.75	1
1	13-1-2013 23:30	13-1-2013 22:30	13-1-2013	32	22.5	364718.0625	2197477.5	1
1	14-1-2013 00:00	13-1-2013 23:00	13-1-2013	32	23	364717.5313	2197479	1
1	14-1-2013 00:00	13-1-2013 23:00	13-1-2013	31	23	364727.9688	2197482.25	1
1	14-1-2013 00:30	13-1-2013 23:30	13-1-2013	31	23.5	364720	2197490.625	1
1	14-1-2013 01:00	14-1-2013 00:00	14-1-2013	31	0	364419.6563	2197595.5	1
1	14-1-2013 01:30	14-1-2013 00:30	14-1-2013	31	0.5	364381.0625	2197651.5	1
1	14-1-2013 02:00	14-1-2013 01:00	14-1-2013	31	1	364326.3438	2197706.75	1
1	14-1-2013 02:30	14-1-2013 01:30	14-1-2013	31	1.5	364260.2969	2197538.875	1
1	14-1-2013 03:00	14-1-2013 02:00	14-1-2013	31	2	364247.5	2197608	1
1	14-1-2013 03:30	14-1-2013 02:30	14-1-2013	31	2.5	364253.3594	2197616.75	1
1	14-1-2013 04:00	14-1-2013 03:00	14-1-2013	31	3	364284.375	2197609.5	1
1	14-1-2013 04:30	14-1-2013 03:30	14-1-2013	31	3.5	364284.5938	2197607.25	1
1	14-1-2013 05:00	14-1-2013 04:00	14-1-2013	31	4	364280.5313	2197610.25	1
1	14-1-2013 05:30	14-1-2013 04:30	14-1-2013	31	4.5	364283.0625	2197608.25	1
1	14-1-2013 06:00	14-1-2013 05:00	14-1-2013	31	5	364298.6875	2197610.25	1
1	14-1-2013 06:30	14-1-2013 05:30	14-1-2013	31	5.5	364303.2188	2197695.75	1
1	14-1-2013 07:00	14-1-2013 06:00	14-1-2013	31	6	364371	2197626.25	1
1	14-1-2013 07:30	14-1-2013 06:30	14-1-2013	31	6.5	364624.7188	2197630.5	1
1	14-1-2013 08:00	14-1-2013 07:00	14-1-2013	31	7	365012.5938	2197468.25	1
1	14-1-2013 08:30	14-1-2013 07:30	14-1-2013	31	7.5	365086.125	2197324.75	1
1	14-1-2013 09:00	14-1-2013 08:00	14-1-2013	31	8	364853.6563	2197642.5	1
1	14-1-2013 09:30	14-1-2013 08:30	14-1-2013	31	8.5	364856.0625	2197641.5	1
1	14-1-2013 10:00	14-1-2013 09:00	14-1-2013	31	9	364729.5938	2197891.5	1
1	14-1-2013 10:30	14-1-2013 09:30	14-1-2013	31	9.5	364735	2197884.25	1
1	14-1-2013 11:00	14-1-2013 10:00	14-1-2013	31	10	364738.0313	2197884.25	1
1	14-1-2013 11:30	14-1-2013 10:30	14-1-2013	31	10.5	364716.8125	2197914	1
1	14-1-2013 12:00	14-1-2013 11:00	14-1-2013	31	11	364565.6875	2197789.25	1
1	14-1-2013 12:30	14-1-2013 11:30	14-1-2013	31	11.5	364553.9063	2197801.5	1
1	14-1-2013 13:00	14-1-2013 12:00	14-1-2013	31	12	364550.4063	2197764.25	1
1	14-1-2013 13:30	14-1-2013 12:30	14-1-2013	31	12.5	364418.875	2197581	1
1	14-1-2013 14:00	14-1-2013 13:00	14-1-2013	31	13	364423.8438	2197564.75	1
1	14-1-2013 14:30	14-1-2013 13:30	14-1-2013	31	13.5	364422.1563	2197587.75	1
1	14-1-2013 15:00	14-1-2013 14:00	14-1-2013	31	14	364343.375	2197628.75	1
1	14-1-2013 15:30	14-1-2013 14:30	14-1-2013	31	14.5	364300.3438	2197327.25	1
1	14-1-2013 16:00	14-1-2013 15:00	14-1-2013	31	15	364325.3438	2197325.5	1
1	14-1-2013 16:30	14-1-2013 15:30	14-1-2013	31	15.5	364321.8594	2197340.875	1
1	14-1-2013 17:00	14-1-2013 16:00	14-1-2013	31	16	364299.2188	2197325.75	1
1	14-1-2013 17:30	14-1-2013 16:30	14-1-2013	31	16.5	364305.9688	2197373.5	1
1	14-1-2013 18:00	14-1-2013 17:00	14-1-2013	31	17	364391.5313	2197755	1
1	14-1-2013 18:30	14-1-2013 17:30	14-1-2013	31	17.5	364456.8125	2197712.625	1
1	14-1-2013 19:00	14-1-2013 18:00	14-1-2013	31	18	364399	2197606.75	1
1	14-1-2013 19:30	14-1-2013 18:30	14-1-2013	31	18.5	364406.6563	2197567.25	1
1	14-1-2013 20:00	14-1-2013 19:00	14-1-2013	31	19	364928.5	2197578	1
1	14-1-2013 20:30	14-1-2013 19:30	14-1-2013	31	19.5	365051.7813	2197404.75	1
1	14-1-2013 21:00	14-1-2013 20:00	14-1-2013	31	20	365075.4688	2197384.5	1
1	14-1-2013 21:30	14-1-2013 20:30	14-1-2013	31	20.5	364774.0938	2197433.25	1
1	14-1-2013 22:00	14-1-2013 21:00	14-1-2013	31	21	364739.125	2197456	1
1	14-1-2013 22:30	14-1-2013 21:30	14-1-2013	31	21.5	364722.7813	2197444.5	1
1	14-1-2013 23:00	14-1-2013 22:00	14-1-2013	31	22	364725.125	2197469.25	1
1	14-1-2013 23:30	14-1-2013 22:30	14-1-2013	31	22.5	364725.5625	2197455.5	1
1	15-1-2013 00:00	14-1-2013 23:00	14-1-2013	31	23	364720.4063	2197465.625	1
1	15-1-2013 00:00	14-1-2013 23:00	14-1-2013	30	23	364683.9063	2197453	1
1	15-1-2013 00:30	14-1-2013 23:30	14-1-2013	30	23.5	364693.5313	2197439	1
1	15-1-2013 01:00	15-1-2013 00:00	15-1-2013	30	0	364411.5313	2197542.25	1
1	15-1-2013 01:30	15-1-2013 00:30	15-1-2013	30	0.5	364412.9375	2197573.25	1
1	15-1-2013 02:00	15-1-2013 01:00	15-1-2013	30	1	364401.3438	2197595.25	1
1	15-1-2013 02:30	15-1-2013 01:30	15-1-2013	30	1.5	364359.875	2197651	1
1	15-1-2013 03:00	15-1-2013 02:00	15-1-2013	30	2	364266.6563	2197493.5	1
1	15-1-2013 03:30	15-1-2013 02:30	15-1-2013	30	2.5	364260.5313	2197514.5	1
1	15-1-2013 04:00	15-1-2013 03:00	15-1-2013	30	3	364249.5	2197598.25	1
1	15-1-2013 04:30	15-1-2013 03:30	15-1-2013	30	3.5	364280.0313	2197623.75	1
1	15-1-2013 05:00	15-1-2013 04:00	15-1-2013	30	4	364279.9688	2197476.75	1
1	15-1-2013 05:30	15-1-2013 04:30	15-1-2013	30	4.5	364291	2197489.25	1
1	15-1-2013 06:00	15-1-2013 05:00	15-1-2013	30	5	364285.1563	2197481.75	1
1	15-1-2013 06:30	15-1-2013 05:30	15-1-2013	30	5.5	364282.2188	2197471.125	1
1	15-1-2013 07:00	15-1-2013 06:00	15-1-2013	30	6	364282.3125	2197491.25	1
1	15-1-2013 07:30	15-1-2013 06:30	15-1-2013	30	6.5	364378.1563	2197636.75	1
1	15-1-2013 08:00	15-1-2013 07:00	15-1-2013	30	7	364617.4688	2197684.25	1
1	15-1-2013 08:30	15-1-2013 07:30	15-1-2013	30	7.5	364696.0625	2197860.5	1
1	15-1-2013 09:00	15-1-2013 08:00	15-1-2013	30	8	364859.0469	2197615.75	1
1	15-1-2013 09:30	15-1-2013 08:30	15-1-2013	30	8.5	364855.7813	2197618.5	1
1	15-1-2013 10:00	15-1-2013 09:00	15-1-2013	30	9	364840.3438	2197655.125	1
1	15-1-2013 10:30	15-1-2013 09:30	15-1-2013	30	9.5	364728.0625	2197890.75	1
1	15-1-2013 11:00	15-1-2013 10:00	15-1-2013	30	10	364734.8438	2197874.5	1
1	15-1-2013 11:30	15-1-2013 10:30	15-1-2013	30	10.5	364569.4063	2197798	1
1	15-1-2013 12:00	15-1-2013 11:00	15-1-2013	30	11	364564.6563	2197801.75	1
1	15-1-2013 12:30	15-1-2013 11:30	15-1-2013	30	11.5	364556.7188	2197807.5	1
1	15-1-2013 13:00	15-1-2013 12:00	15-1-2013	30	12	364567.6563	2197802	1
1	15-1-2013 13:30	15-1-2013 12:30	15-1-2013	30	12.5	364567.625	2197788.75	1
1	15-1-2013 14:00	15-1-2013 13:00	15-1-2013	30	13	364425.875	2197580.75	1
1	15-1-2013 14:30	15-1-2013 13:30	15-1-2013	30	13.5	364419.7813	2197580.25	1
1	15-1-2013 15:00	15-1-2013 14:00	15-1-2013	30	14	364426.8906	2197593.5	1
1	15-1-2013 15:30	15-1-2013 14:30	15-1-2013	30	14.5	364402.1875	2197641.625	1
